firm_name,n_offres,sector_main,avg_req_exp,avg_wage,addr_dept_main,top_skill_req
Safran,23,"Aérospatial, Industrie Aéronautique",2.33333333333333,,77,"équipe, Bases de donnée"
Orano,10,"Environnement, Secteur Energie",0.666666666666667,,26,"équipe, Statistique"
Cdiscount,7,"Commerce de gros, Distribution",0.25,,33,"Bases de donnée, équipe"
Docaposte,4,"ESN, Secteur informatique",1,,69,"Deep Learning, équipe"
LHH Recruitment Solutions,3,Services aux Entreprises,7,43000,33,"Anglais, Autonome"
Assurances Crédit Mutuel  GIE,1,"Assurance, Banque",,62500,67,"Autonome, Autonôme"
Team.is,5,"ESN, Secteur informatique",1,67500,33,"équipe, Git"
Akkodis,2,"ESN, Secteur informatique",1,42500,63,"Bases de donnée, équipe"
Reactis Services,3,"ESN, Secteur informatique",1,50000,94,Reporting
Solutec,2,"ESN, Secteur informatique",,,31,"équipe, modélisation"
Groupe BPCE,36,"BEP, CAP",0.272727272727273,91089.2857142857,75,"équipe, SQL"
SII Nord,25,"ESN, Secteur informatique",4.14285714285714,38768.04,59,"équipe, Créativité"
Davidson Consulting,11,"ESN, Secteur informatique",1,39812.5,35,"SQL, équipe"
ENGIE,11,"Environnement, Secteur Energie",0,,92,"Python, Git"
Gueudet,2,"Industrie Auto, Meca",,,80,"Bases de donnée, équipe"
Abylsen,5,"ESN, Secteur informatique",1,40000,13,"Deep Learning, Collaboration"
Shopopop,1,"Particuliers, Services aux Personnes",1,39500,44,"équipe, Git"
AG2R La Mondiale,3,"Assurance, Banque",1,,75,"équipe, Statistique"
Apside,12,"ESN, Secteur informatique",5,49000,6,"Anglais, équipe"
Fnac Darty,7,"Commerce de gros, Distribution",0,,94,"Git, équipe"
ADHERENCE CONSULTING,2,"ESN, Secteur informatique",7,,59,"Bases de donnée, Git"
Saur,3,"Environnement, Secteur Energie",4,,75,"Deep Learning, Rigueur"
AXA en France,22,"Assurance, Banque",2,6388,92,"équipe, Azure"
Carrefour,21,"Commerce de gros, Distribution",0,,91,"équipe, Git"
VIF,2,"ESN, Industrie Agro-alimentaire",7,,44,"Collaboration, équipe"
Anderson RH,1,Services aux Entreprises,1,,,"English, Statistics"
SNCF Connect & Tech,6,"Communication, Internet",,,75,"Deep Learning, équipe"
Segula Technologies,4,"Industrie Auto, Meca",3.5,,91,"équipe, Rapport"
BNP Paribas,8,"Assurance, Banque",0,,93,"équipe, Anglais"
SUEZ,10,"Environnement, Secteur Energie",0,,78,"Python, Excel"
Groupement Les Mousquetaires,5,"Commerce de gros, Distribution",0,17068.6666666667,92,"équipe, Statistique"
JCDecaux,6,"Communication, Industrie Manufacturière",1.75,,92,"équipe, Autonome"
Postuler,3,Services aux Entreprises,3,,57,"équipe, Git"
EY,8,"ESN, Secteur informatique",3.5,,92,"équipe, Excel"
Seyos,11,"ESN, Secteur informatique",1,56363.6363636364,67,"équipe, Python"
Volvo Group,5,"Industrie Auto, Meca",,,69,"Collaboration, Communication"
EasyVista,2,"ESN, Secteur informatique",0,,38,"équipe, Français"
Finance People,1,Services aux Entreprises,,47500,78,"équipe, Excel"
Magasins Vert - Point Vert,1,"Commerce de gros, Distribution",0,,29,"équipe, Git"
Equans,5,"BTP, Environnement",1,52500,69,"équipe, Git"
EURO-INFORMATION DEVELOPPEMENTS,6,"Assurance, Banque",,42000,67,"équipe, Anglais"
Bouygues Telecom,8,"BTP, Industrie high-tech",0.75,,92,"équipe, Python"
Generali France,8,"Assurance, Banque",0,,93,"Python, Reporting"
Talan,46,"ESN, Secteur informatique",6.10344827586207,,75,"équipe, Git"
Groupama Assurances Mutuelles,12,"Assurance, Banque",0.5,50000,75,"équipe, Communication"
DEMETER,1,Services aux Entreprises,1,60000,92,"Excel, modélisation"
PwC,16,"ESN, Secteur informatique",,,92,"équipe, Python"
IRT Jules Verne,2,Industrie Manufacturière,,,44,"équipe, Intelligence artificielle"
Valeo,4,"Industrie Auto, Meca",0,,95,"Collaboration, Anglais"
ALTEN,48,"ESN, Secteur informatique",0,,92,"équipe, Reporting"
APRIL,2,"Assurance, Banque",,,69,"Deep Learning, Collaboration"
Extia,12,"ESN, Secteur informatique",,,34,"équipe, Python"
INFOGENE,10,"ESN, Secteur informatique",1,55875,92,"équipe, Git"
Alteca,7,"ESN, Secteur informatique",0.714285714285714,52500,59,"équipe, AWS"
Inetum,31,"ESN, Secteur informatique",7,,93,"équipe, Git"
Liebherr-Aerospace Toulouse,2,"Aérospatial, Industrie Aéronautique",1,,31,"équipe, Git"
Kuribay,1,"Industrie Auto, Meca",1,,69,"Collaboration, équipe"
SCC,1,"ESN, Secteur informatique",7,,92,"Collaboration, équipe"
Activus Group,8,"ESN, Secteur informatique",3.25,176425.332,31,"équipe, Python"
CGI,68,"ESN, Secteur informatique",1.6,,31,"Excel, équipe"
Crédit Agricole Assurances,26,"Assurance, Banque",1.72727272727273,50000,75,"équipe, Git"
DIOT-SIACI,1,"Assurance, Banque",1,50000,75,"Collaboration, équipe"
Business & Décision,22,"ESN, Secteur informatique",7,,31,"équipe, Azure"
Limagrain,1,Industrie Agro-alimentaire,1,,63,"équipe, Git"
Deloitte,8,Services aux Entreprises,0.333333333333333,,92,"Anglais, équipe"
CS Group,9,"ESN, Secteur informatique",5.44444444444445,,64,"Git, Python"
Bertrandt,4,"Aérospatial, Industrie Aéronautique",7,,31,"équipe, Base de donnée"
IT&M STATS,1,"ESN, Secteur informatique",,,75,"Anglais, Autonome"
Externatic,3,Services aux Entreprises,1,45000,44,"équipe, Rapport"
Servier,1,"Biotechn., Chimie",,,92,"Autonome, Autonôme"
Expleo,10,"ESN, Secteur informatique",7,,31,"équipe, Anglais"
DAVRICOURT,5,"ESN, Secteur informatique",,,59,"équipe, Bases de donnée"
