top_skill_req,avg_wage
Anglais,60591.5388888889
équipe,56050.1851820975
Autonome,62368.1790476191
AWS,54315.6565656566
Hadoop,47089.2857142857
Database,35412.1325
Python,92405.4001414141
Excel,41621.962962963
Curiosité,34500
modélisation,58676.8333333333
Collaboration,65199.5775641026
Git,53935.1158088235
Créativité,20587.02
Tableau,37500
Azure,56066.3
SQL,58916.9956709957
Dataviz,49500
Deep Learning,77994.7842245989
C++,41500
Intelligence artificielle,47068.6666666667
Communication,68624.7406666667
Reporting,56071.4285714286
Optimisation,47333.3333333334
Français,82328.125
Power BI,44958.3333333334
Google Cloud,43000
Rapport,45000
A/B Testing,44000
collecte de données,3006
Statistique,288567.222222222
